n,r,m
(:Entity {name: විනිමය බිල්පත් පනත}),[:අංකය],(:Entity {name: 1927 අංක 25})
(:Entity {name: විනිමය බිල්පත් පනත}),[:අරමුණ],(:Entity {name: වාණිජ ගනුදෙනු වල භාවිත වන මුදල් උපකරණ සඳහා නීතිමය රාමුවක් සැපයීම})
(:Entity {name: විනිමය බිල්පත් පනත}),[:දඩ_නියෝග],(:Entity {name: චෙක්පතක් අවනත කිරීම අපරාධයක් වේ})
(:Entity {name: විනිමය බිල්පත් පනත}),[:දඩ_නියෝග],(:Entity {name: ව්‍යාජ බිල්පත් නිර්මාණය කිරීම බරපතල අපරාධයක්})
(:Entity {name: විනිමය බිල්පත් පනත}),[:දඩ_නියෝග],(:Entity {name: බිල්පතේ වංචනික වෙනස්කම් අපරාධයක්})
(:Entity {name: විනිමය බිල්පත් පනත}),[:මුල්_පනත],(:Entity {name: 1927 බ්‍රිතාන්‍ය විනිමය පත්‍ර ආඥාපනත 1882 මත පදනම් වේ})
(:Entity {name: විනිමය බිල්පත් පනත}),[:නියම_කිරීම],(:Entity {name: විනිමය බිල්පත්})
(:Entity {name: විනිමය බිල්පත් පනත}),[:නියම_කිරීම],(:Entity {name: චෙක්පත්})
(:Entity {name: විනිමය බිල්පත් පනත}),[:නියම_කිරීම],(:Entity {name: ප්‍රොමිසරි නෝට්ටු})
(:Entity {name: විනිමය බිල්පත් පනත}),[:සංශෝධනය_කිරීම],(:Entity {name: චෙක්පත් අවනත කිරීම අපරාධ කිරීම})
(:Entity {name: චෙක්පත්}),[:මුද්දර_බදු],(:Entity {name: අවශ්‍ය නොවේ})
(:Entity {name: ප්‍රොමිසරි නෝට්ටු}),[:සීමා_කාලය],(:Entity {name: ඉල්ලීමේ දිනයේ සිට වසර 3ක්})
(:Entity {name: විනිමය බිල්පතක්}),[:ස්වභාවය],(:Entity {name: ලිඛිතව අත්සන් කරන ලද කොන්දේසි රහිත නියෝගයක්})
(:Entity {name: විනිමය බිල්පතක්}),[:අනුශාසනා_කරයි],(:Entity {name: නිශ්චිත මුදලක් ගෙවීමට})
(:Entity {name: විනිමය බිල්පතක්}),[:අනුශාසනා_කරයි],(:Entity {name: තෙවන පුද්ගලයෙකුට ගෙවීමට})
(:Entity {name: විනිමය බිල්පතක්}),[:අත්‍යාවශ්‍ය_අංග],(:Entity {name: ලිඛිතව තිබිය යුතුයි})
(:Entity {name: විනිමය බිල්පතක්}),[:අත්‍යාවශ්‍ය_අංග],(:Entity {name: අඳින්නාගේ අත්සන තිබිය යුතුයි})
(:Entity {name: විනිමය බිල්පතක්}),[:අත්‍යාවශ්‍ය_අංග],(:Entity {name: කොන්දේසි රහිත නියෝගයක් විය යුතුයි})
(:Entity {name: විනිමය බිල්පතක්}),[:අත්‍යාවශ්‍ය_අංග],(:Entity {name: නිශ්චිත මුදලක් සඳහා විය යුතුයි})
(:Entity {name: විනිමය බිල්පතක්}),[:අත්‍යාවශ්‍ය_අංග],(:Entity {name: ගෙවිය යුතු පුද්ගලයා හඳුනාගත හැකි විය යුතුයි})
(:Entity {name: විනිමය බිල්පතක්}),[:අත්‍යාවශ්‍ය_අංග],(:Entity {name: ලබන්නා හඳුනාගත හැකි විය යුතුයි})
(:Entity {name: විනිමය බිල්පතක්}),[:ලබා_දීම],(:Entity {name: එක් පුද්ගලයෙකු විසින් තවත් පුද්ගලයෙකුට})
(:Entity {name: ප්‍රොමිසරි නෝට්ටුවක්}),[:ස්වභාවය],(:Entity {name: ලිඛිත පොරොන්දුවක්})
(:Entity {name: ප්‍රොමිසරි නෝට්ටුවක්}),[:වෙනස],(:Entity {name: පුද්ගලයා තමා ගෙවන බවට පොරොන්දු වේ})
